Type,TotalCount
4,4327037
8-K,1899758
10-Q,662778
424B2,516360
6-K,515595
SC 13G/A,428764
497,409333
D,404162
13F-HR,384084
3,377776
497K,289716
D/A,256353
NPORT-P,243120
FWP,241375
SC 13G,227596
10-K,217303
CORRESP,205155
485BPOS,202083
24F-2NT,199071
424B3,191093
UPLOAD,190685
DEF 14A,187079
497J,136911
SC 13D/A,136012
REGDEX,126746
4/A,124581
10QSB,120117
13F-NT,117676
DEFA14A,114169
5,113601
10-D,104764
X-17A-5,98733
N-Q,94931
S-8,93777
425,88561
8-K/A,82033
NT 10-Q,77553
N-CSR,73669
NSAR-B,73525
NSAR-A,73393
N-30D,71840
424B5,70367
N-PX,69360
EFFECT,69320
N-CSRS,66691
SC 13D,61505
S-1/A,60106
144,59947
SUPPL,56177
NT 10-K,46629
10-Q/A,45834
10-K/A,45420
11-K,44579
485APOS,43860
PRE 14A,43037
ARS,42633
REGDEX/A,41940
N-MFP,41411
S-8 POS,41029
S-3,38489
10KSB,36912
N-MFP2,35823
POS AM,34252
FOCUSN,32877
ABS-EE,31353
19B-4E,30369
13F-HR/A,30196
S-3/A,29792
40-17G,29368
485BXT,29084
S-6,24802
8-A12B,24540
S-1,24124
487,22427
S-4/A,21815
40-17F2,20250
10-K405,20161
N-CEN,19981
3/A,19769
ABS-15G,19516
20-F,19406
SC TO-I/A,17333
10QSB/A,17117
NSAR-U,16565
SB-2/A,16513
15-15D,16470
CT ORDER,16239
S-4,15488
DFAN14A,14869
25-NSE,14577
15-12G,14522
DEF 14C,13507
N-30B-2,13343
RW,13178
MA-I/A,13106
424B4,12925
SC TO-T/A,12873
SD,12425
PRER14A,11942
10KSB/A,11909
SC TO-I,10830
PRE 14C,10184
8-A12G,10153
SC 14D9/A,10050
S-3ASR,9717
C/A,9706
TA-2,9592
MA-I,9177
C,9104
S-6/A,8999
NO ACT,8830
1-U,7903
CERT,7793
SB-2,7765
F-6EF,7357
SC 13E3/A,7277
NPORT-EX,7210
POS AMI,6982
F-1/A,6765
497VPU,6633
6-K/A,6479
N-2/A,6458
DEFM14A,6397
REVOKED,6386
NSAR-B/A,6357
DEFR14A,6254
424B1,6220
ABS-15G/A,6148
X-17A-5/A,6071
DRS/A,5994
SC TO-C,5912
15-12B,5908
POS EX,5739
CERTNYS,5589
10SB12G/A,5522
PREM14A,5258
SC 14D1/A,5190
DRS,5181
10-12G/A,5161
35-CERT,5137
1-A/A,4984
497AD,4981
DRSLTR,4926
TA-1/A,4910
8-A12B/A,4859
N-8A,4598
424B7,4538
25,4440
C-U,4410
SC 14D9,4375
NPORT-P/A,4360
N-2,4349
253G2,4324
5/A,4245
AW,4213
10SB12G,4104
IRANNOTICE,4029
MA-A,4010
NSAR-A/A,4001
DEFS14A,3963
20-F/A,3939
N-14,3906
C-AR,3869
PRES14A,3833
N-CSR/A,3698
SE,3565
S-11/A,3559
497VPI,3537
N-8F,3460
10KSB40,3440
40-24B2,3433
N-23C3A,3425
40-APP/A,3418
40-F,3261
24F-2NT/A,3231
10-K405/A,3223
F-X,3198
PX14A6G,3074
N-MFP1,3040
N-1A/A,3012
PREC14A,2989
10-12G,2896
