year,formType,fileExtension,count,percentage
2000,10-K,txt,4865,95.09
2000,10-K,xfd,16,0.31
2000,10-K,htm,172,3.36
2000,10-K,gif,4,0.08
2000,10-K,jpg,50,0.98
2000,10-K,frm,5,0.10
2000,10-K,pdf,4,0.08
2001,10-K,txt,3751,86.73
2001,10-K,htm,542,12.53
2001,10-K,gif,17,0.39
2001,10-K,pdf,4,0.09
2001,10-K,jpg,11,0.25
2002,10-K,txt,3881,72.71
2002,10-K,htm,1288,24.13
2002,10-K,gif,70,1.31
2002,10-K,jpg,81,1.52
2002,10-K,pdf,18,0.34
2003,10-K,htm,3095,40.51
2003,10-K,txt,4204,55.03
2003,10-K,jpg,175,2.29
2003,10-K,gif,135,1.77
2003,10-K,pdf,31,0.41
2004,10-K,htm,3810,50.58
2004,10-K,txt,3345,44.41
2004,10-K,jpg,188,2.50
2004,10-K,paper,1,0.01
2004,10-K,pdf,9,0.12
2004,10-K,gif,179,2.38
2005,10-K,htm,4829,60.99
2005,10-K,txt,2503,31.61
2005,10-K,jpg,362,4.57
2005,10-K,gif,214,2.70
2005,10-K,pdf,10,0.13
2006,10-K,htm,5344,67.48
2006,10-K,txt,1856,23.44
2006,10-K,pdf,18,0.23
2006,10-K,jpg,402,5.08
2006,10-K,gif,298,3.76
2006,10-K,paper,1,0.01
2007,10-K,htm,5490,67.61
2007,10-K,txt,1487,18.31
2007,10-K,jpg,839,10.33
2007,10-K,gif,287,3.53
2007,10-K,pdf,17,0.21
2008,10-K,htm,5566,70.36
2008,10-K,txt,1308,16.53
2008,10-K,jpg,704,8.90
2008,10-K,gif,307,3.88
2008,10-K,pdf,26,0.33
2009,10-K,txt,1352,17.55
2009,10-K,htm,4940,64.11
2009,10-K,jpg,958,12.43
2009,10-K,pdf,24,0.31
2009,10-K,gif,257,3.34
2009,10-K,xml,145,1.88
2009,10-K,xsd,29,0.38
2010,10-K,txt,1249,13.65
2010,10-K,htm,5256,57.44
2010,10-K,jpg,1674,18.29
2010,10-K,gif,352,3.85
2010,10-K,xml,504,5.51
2010,10-K,xsd,101,1.10
2010,10-K,pdf,15,0.16
2011,10-K,htm,5133,49.06
2011,10-K,txt,1156,11.05
2011,10-K,gif,117,1.12
2011,10-K,jpg,1525,14.58
2011,10-K,xml,2100,20.07
2011,10-K,xsd,421,4.02
2011,10-K,pdf,10,0.10
2012,10-K,htm,4979,43.77
2012,10-K,txt,1090,9.58
2012,10-K,jpg,1365,12.00
2012,10-K,xml,3206,28.18
2012,10-K,xsd,642,5.64
2012,10-K,gif,87,0.76
2012,10-K,pdf,7,0.06
2013,10-K,htm,4957,42.39
2013,10-K,jpg,1509,12.90
2013,10-K,txt,1379,11.79
2013,10-K,xml,3123,26.70
2013,10-K,xsd,625,5.34
2013,10-K,gif,95,0.81
2013,10-K,pdf,7,0.06
2014,10-K,htm,5596,40.57
2014,10-K,txt,1044,7.57
2014,10-K,jpg,3153,22.86
2014,10-K,gif,131,0.95
2014,10-K,xml,3220,23.34
2014,10-K,xsd,644,4.67
2014,10-K,pdf,6,0.04
2015,10-K,htm,5139,40.61
2015,10-K,txt,1042,8.23
2015,10-K,jpg,2338,18.47
2015,10-K,xml,3347,26.45
2015,10-K,xsd,670,5.29
2015,10-K,gif,114,0.90
2015,10-K,pdf,5,0.04
2016,10-K,htm,5346,42.21
2016,10-K,txt,1036,8.18
2016,10-K,jpg,2210,17.45
2016,10-K,xml,3259,25.73
2016,10-K,xsd,652,5.15
2016,10-K,gif,151,1.19
2016,10-K,pdf,10,0.08
2017,10-K,htm,5407,42.43
2017,10-K,txt,1007,7.90
2017,10-K,jpg,2100,16.48
2017,10-K,xml,3433,26.94
2017,10-K,xsd,687,5.39
2017,10-K,gif,103,0.81
2017,10-K,pdf,5,0.04
2018,10-K,htm,5488,41.78
2018,10-K,jpg,2275,17.32
2018,10-K,txt,1009,7.68
2018,10-K,xml,3525,26.84
2018,10-K,xsd,705,5.37
2018,10-K,gif,128,0.97
2018,10-K,pdf,5,0.04
2019,10-K,htm,5340,45.42
